Unit,Current_T,Last_T,Delta_T,Current_Y,Last_Y,Delta_Y,PC,BurnIn
1,0,NA,NA,0,NA,NA,PC1,Yes
1,6,0,6,4.3,0,4.3,PC1,No
1,12,6,6,6.5,4.3,2.2,PC1,No
1,24,12,12,7.8,6.5,1.3,PC1,No
1,48,24,24,13,7.8,5.2,PC1,No
1,96,48,48,21.7,13,8.7,PC1,No
1,156,96,60,33,21.7,11.3,PC1,No
1,230,156,74,42.1,33,9.1,PC1,No
1,324,230,94,49.9,42.1,7.8,PC1,No
1,479,324,155,59.9,49.9,10,PC1,No
1,635,479,156,78.6,59.9,18.7,PC1,No
2,0,NA,NA,0,NA,NA,PC1,Yes
2,6,0,6,1.4,0,1.4,PC1,No
2,12,6,6,2.7,1.4,1.3,PC1,No
2,24,12,12,5,2.7,2.3,PC1,No
2,48,24,24,7.8,5,2.8,PC1,No
2,96,48,48,14.5,7.8,6.7,PC1,No
2,156,96,60,23.3,14.5,8.8,PC1,No
2,230,156,74,29,23.3,5.7,PC1,No
2,324,230,94,43.3,29,14.3,PC1,No
2,479,324,155,59.8,43.3,16.5,PC1,No
2,635,479,156,77.4,59.8,17.6,PC1,No
3,0,NA,NA,0,NA,NA,PC1,Yes
3,6,0,6,3.4,0,3.4,PC1,No
3,12,6,6,4.6,3.4,1.2,PC1,No
3,24,12,12,7.8,4.6,3.2,PC1,No
3,48,24,24,13,7.8,5.2,PC1,No
3,96,48,48,16.8,13,3.8,PC1,No
3,156,96,60,26.8,16.8,10,PC1,No
3,230,156,74,34.1,26.8,7.3,PC1,No
3,324,230,94,41.5,34.1,7.4,PC1,No
3,479,324,155,67,41.5,25.5,PC1,No
3,635,479,156,65.5,67,-1.5,PC1,No
4,0,NA,NA,0,NA,NA,PC1,Yes
4,6,0,6,3.2,0,3.2,PC1,No
4,12,6,6,4.3,3.2,1.1,PC1,No
4,24,12,12,5.8,4.3,1.5,PC1,No
4,48,24,24,9.9,5.8,4.1,PC1,No
4,96,48,48,15.2,9.9,5.3,PC1,No
4,156,96,60,20.3,15.2,5.1,PC1,No
4,230,156,74,26.2,20.3,5.9,PC1,No
4,324,230,94,33.6,26.2,7.4,PC1,No
4,479,324,155,39.5,33.6,5.9,PC1,No
4,635,479,156,53.2,39.5,13.7,PC1,No
5,0,NA,NA,0,NA,NA,PC1,Yes
5,6,0,6,3.7,0,3.7,PC1,No
5,12,6,6,5.6,3.7,1.9,PC1,No
5,24,12,12,8,5.6,2.4,PC1,No
5,48,24,24,12.8,8,4.8,PC1,No
5,96,48,48,16,12.8,3.2,PC1,No
5,156,96,60,23.7,16,7.7,PC1,No
5,230,156,74,26.7,23.7,3,PC1,No
5,324,230,94,38.4,26.7,11.7,PC1,No
5,479,324,155,49.2,38.4,10.8,PC1,No
5,635,479,156,47.2,49.2,-2,PC1,No
6,0,NA,NA,0,NA,NA,PC1,Yes
6,6,0,6,0.1,0,0.1,PC1,No
6,12,6,6,0.4,0.1,0.3,PC1,No
6,24,12,12,0.7,0.4,0.3,PC1,No
6,48,24,24,2,0.7,1.3,PC1,No
6,96,48,48,3.5,2,1.5,PC1,No
6,156,96,60,6.6,3.5,3.1,PC1,No
6,230,156,74,12.2,6.6,5.6,PC1,No
6,324,230,94,18.8,12.2,6.6,PC1,No
6,479,324,155,32.3,18.8,13.5,PC1,No
6,635,479,156,47,32.3,14.7,PC1,No
7,0,NA,NA,0,NA,NA,PC1,Yes
7,6,0,6,0.8,0,0.8,PC1,No
7,12,6,6,1.7,0.8,0.9,PC1,No
7,24,12,12,2.8,1.7,1.1,PC1,No
7,48,24,24,4.6,2.8,1.8,PC1,No
7,96,48,48,7.9,4.6,3.3,PC1,No
7,156,96,60,12.4,7.9,4.5,PC1,No
7,230,156,74,20.2,12.4,7.8,PC1,No
7,324,230,94,24.8,20.2,4.6,PC1,No
7,479,324,155,32.5,24.8,7.7,PC1,No
7,635,479,156,45.5,32.5,13,PC1,No
1,0,NA,NA,0,NA,NA,PC2,Yes
1,6,0,6,2.3,0,2.3,PC2,No
1,12,6,6,3.7,2.3,1.4,PC2,No
1,24,12,12,5.6,3.7,1.9,PC2,No
1,48,24,24,8.8,5.6,3.2,PC2,No
1,96,48,48,13.7,8.8,4.9,PC2,No
1,156,96,60,17.2,13.7,3.5,PC2,No
1,230,156,74,24.8,17.2,7.6,PC2,No
1,324,230,94,29.1,24.8,4.3,PC2,No
1,479,324,155,42.9,29.1,13.8,PC2,No
1,635,479,156,45.3,42.9,2.4,PC2,No
2,0,NA,NA,0,NA,NA,PC2,Yes
2,6,0,6,0.2,0,0.2,PC2,No
2,12,6,6,0.4,0.2,0.2,PC2,No
2,24,12,12,0.9,0.4,0.5,PC2,No
2,48,24,24,2.4,0.9,1.5,PC2,No
2,96,48,48,4.5,2.4,2.1,PC2,No
2,156,96,60,7.1,4.5,2.6,PC2,No
2,230,156,74,13.4,7.1,6.3,PC2,No
2,324,230,94,21.2,13.4,7.8,PC2,No
2,479,324,155,30.7,21.2,9.5,PC2,No
2,635,479,156,41.7,30.7,11,PC2,No
3,0,NA,NA,0,NA,NA,PC2,Yes
3,6,0,6,0.5,0,0.5,PC2,No
3,12,6,6,0.9,0.5,0.4,PC2,No
3,24,12,12,1.9,0.9,1,PC2,No
3,48,24,24,3.5,1.9,1.6,PC2,No
3,96,48,48,5.9,3.5,2.4,PC2,No
3,156,96,60,10,5.9,4.1,PC2,No
3,230,156,74,14.4,10,4.4,PC2,No
3,324,230,94,22,14.4,7.6,PC2,No
3,479,324,155,26,22,4,PC2,No
3,635,479,156,31.8,26,5.8,PC2,No
